"Store Name","Date Sold","Time Sold","Register # Sold At","Register Name Sold At","POS Department Code","Department Name","Sku","Modifier","Name","Normal Unit Retail Price","Actual Unit Price","Quantity Sold in Transaction","Promotion Amount","Promotion Reason","Discount Amount","Discount Reason","Final Products Amount for Transaction"
"McNab Food Store","AUG-29-2026","08:25","1","Register 1 (4139)","13","Scratch Off","798028416001","0","#1600 - $2,500 A Week For Life","5","5.00","2",,,,,"10"
"McNab Food Store","AUG-29-2026","08:26","1","Register 1 (4139)","8","Drinks","613008725716","0","Arizona Green Tea With Ginseng & Honey T","1.06","1.06","1",,,,,"1.06"
"McNab Food Store","AUG-29-2026","08:26","1","Register 1 (4139)","9","Snacks","28534120056","0","Herb S Tall Red Hot Sausage","1.05","1.05","2",,,,,"2.1"
"McNab Food Store","AUG-29-2026","08:31","1","Register 1 (4139)","19","Soda/Energy Beverages","12000000133","0","Pepsi Can 12 Fl Oz","1.75","1.75","1",,,,,"1.75"
"McNab Food Store","AUG-29-2026","08:31","1","Register 1 (4139)","13","Scratch Off","798028116369","0","#1636 - $1 LUCKY BUCKS","1","1.00","5",,,,,"5"
"McNab Food Store","AUG-29-2026","08:34","1","Register 1 (4139)","3","Grocery Non-taxable","38000219634","0","Kellogg's Frosted Flakes:of Corn 1.20 Oz","0.75","0.75","1",,,,,"0.75"
"McNab Food Store","AUG-29-2026","08:40","1","Register 1 (4139)","8","Drinks","613008725778","0","Arizona Watermelon Fruit Juice Cocktail","1.06","1.06","3",,,,,"3.18"
"McNab Food Store","AUG-29-2026","08:45","1","Register 1 (4139)","20","Shirt","11711166039","0","V Neck Shirt White 2xl","8.32","8.32","1",,,,,"8.32"
"McNab Food Store","AUG-29-2026","09:13","1","Register 1 (4139)","19","Soda/Energy Beverages","611269002706","0","Red Bull Summer Edition White Peach (12","3.64","3.64","1",,,,,"3.64"
"McNab Food Store","AUG-29-2026","09:13","1","Register 1 (4139)","9","Snacks","35751111149","0","Blueberry Creamdanish 5 Oz","3.11","3.11","1",,,,,"3.11"
